date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:28	3776/3776	---M--	200	added ('OK')	image/png	etag:%22ec0-5b8553963ad42%22	https://dev.closer2oxford.ro/images/fb.png	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/fb.png	(from https://dev.closer2oxford.ro/)
22:49:29	331433/331433	---M--	200	added ('OK')	application/javascript	etag:%2250ea9-5b8553972c48b%22	https://dev.closer2oxford.ro/js/tinymce/tiny_mce.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/tinymce/tiny_mce.js	(from https://dev.closer2oxford.ro/)
22:49:29	7573/7573	---M--	200	added ('OK')	image/png	etag:%221d95-5b8553963ad42%22	https://dev.closer2oxford.ro/images/feed-icon.png	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/feed-icon.png	(from https://dev.closer2oxford.ro/)
22:49:29	25969/25969	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:29%20GMT	https://dev.closer2oxford.ro/page/register	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/register.html	(from https://dev.closer2oxford.ro/)
22:49:29	47/47	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:29%20GMT	https://dev.closer2oxford.ro/page/clasamente	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/clasamente.html	(from https://dev.closer2oxford.ro/)
22:49:29	211885/211885	---M--	200	added ('OK')	image/png	etag:%2233bad-5b855396f74e3%22	https://dev.closer2oxford.ro/images/slide/dezbatere-ofensa-runda.png	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/slide/dezbatere-ofensa-runda.png	(from https://dev.closer2oxford.ro/)
22:49:29	66437/66437	---M--	200	added ('OK')	image/png	etag:%2210385-5b855398258d2%22	https://dev.closer2oxford.ro/uploads/2015/05/22/dezbatere-website-oxford_(1).6ftib2.png	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/uploads/2015/05/22/dezbatere-website-oxford_(1).6ftib2.png	(from https://dev.closer2oxford.ro/)
22:49:30	42788/42788	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:30%20GMT	https://dev.closer2oxford.ro/en	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/en.html	(from https://dev.closer2oxford.ro/)
22:49:30	698027/698027	---M--	200	added ('OK')	image/png	etag:%22aa6ab-5b85539636309%22	https://dev.closer2oxford.ro/images//cover/BANNER_c2o_12_DEBATE_ONLINE_results.png	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/cover/BANNER_c2o_12_DEBATE_ONLINE_results.png	(from https://dev.closer2oxford.ro/)
22:49:30	22408/22408	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:30%20GMT	https://dev.closer2oxford.ro/page/contacte/	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/contacte/index.html	(from https://dev.closer2oxford.ro/)
